Question,Category
Discuss about the main two steps in the instruction cycle with the aid of a state diagram.,Understand
Define the term Unit of transfer in terms of main memory in computer memory systems.,Understand
State two different types of method of accessing units of data and each.,Understand
briefly explain the followings in terms of computer memory.,Understand
Discuss about the memory hierarchy of computer memory system with the aid of a diagram,Understand
Prepare an invitation using MS Word as given invitation sample in page 4. Save your document as IndexNo_invitation.docx.,Apply
Take a copy of above invitation and save it as IndexNo_invitation_merged.docx. Use this file as the starting document to perform mail merge using mail merge wizard.,Apply
Following table contains sales Data of WIX company for the year 2018.,Understand
Create a blank presentation and save it as IndexNo_computerSystems.pptx.,Apply
Format the Slide Master in the slide master view as follows to apply the formatting to all slide layouts.,Apply
Insert a layout in the slide master view to create a new layout to insert pictures.,Apply
Create Slide 1. slide 2. slide 3 and slide 4 of the presentation as the instructions given below.,Apply
"create a database named ""Hospital ICTxxx"" in the above folder.",Apply
Create following tables with the given table structure.,Apply
Insert the following records to their respective tables.,Apply
Create a form for the table Doctors named as “Doctors”.,Apply
"Create a form for the table '""Appointments"" as shown in Figure 01.",Apply
Insert the following record using the form created for part e.,Apply
"The appointment having the ""Appoint_No 4"" has been cancelled for an emergency reason. Delete the particular record from the database.",Apply
Design the following quires and save them as separate query with the specified name.,Apply
"Create a report named ""Report 2018"" from the table ""Appointments”",Apply
"Export the report you created in part i as ""FinalReport _lCTxx.pdf to your folder.",Apply
Write SQL statements and execute them to display the output for each of the question.,Apply
Identify and correct the errors in each of the following statements.,Evaluate
Write a single C statement or line that accomplishes each of the following:,Apply
"Copy each of the equation, State the order of evaluation of the operators in each of the following C statements and show the value of x after each statement is performed.",Understand
"State whether each of the following is true or false. If false, explain why.",Understand
Define & Differentiate between the terms High level languages and Low level languages with a suitable examples.,Understand
Explain the meaning of the statements given below.,Understand
"Based on the below pseudo code, draw a flow chart.",Apply
Write short notes about the looping statements with examples.,Understand
Define and differentiate an array and simple variable.,Understand
Write down the Structure of a function in 'C' programing language and define each components of a function. Define & differentiate between Strict & function in C language.,Understand
input five integer and store it in an array,Apply
calculate the product (multiplication) of all input values.,Apply
Find the sum of those five numbers.,Apply
Calculate the mean of those five integers.,Apply
Find the deviation for each number.,Apply
"Finally, display the product, total, average and deviation of each number on the screen.",Apply
Define a structure Student with the following attributes.,Apply
Implement separate functions to perform the following operations.,Apply
Display all the details of a student.,Apply
Implement the main function to perform the following tasks.,Apply
Describe the major functions of Operating System.,Understand
Explain the process states with the aid of a diagram.,Understand
Operating System uses Process Control Blocks (PCB) to store the attributes of processes. List out and describe the information stored in PCB.,Understand
Write short note on the following.,Understand
Define the followings.,Understand
What are the differences between?,Understand
"Find the average waiting time (A.W.T) and the average turnaround time (A.T.A.T) for executing the following processes using Round-Robin algorithm, where the quantity is four (4)?",Apply
"Define the terms deadlock state, and safe state in your own words?",Understand
What are the deadlock conditions?,Understand
How can you prevent the occurrence of a deadlock occurs?,Understand
"Suppose we have five (05) processes and three (03) resources, A, B. and C.A has three instances, B has five (05) instances and C has four (04) instances. Can the system execute the following processes without deadlock?",Analyze
State the reasons why the programs and data are not resided in main memory permanently.,Understand
Describe the architecture of a Linux system with the aid of a diagram:,Understand
Write short note on the followings:,Understand
"what is system call, and list out the system cal1s for process management.",Understand
What are the three principal components of a data-processing system?,Remember
Give a brief account on three ways in which society changed with adoption of telephony.,Understand
What are the three (03) advantages of being an early adopter and a late adopter of a new technology.,Understand
Briefly discuss the pros and cons of technology. Provide at least five (05) strong reasons to support your answer.,Understand
Explain briefly how the introduction of high-leve1 programming languages change computing.,Understand
What is the difference between morality and ethics?,Understand
Compare and contrast on divine command theory and Kantianism.,Understand
Define censorship in your own words. What are the three (03) characteristics of the internet make censorship difficult?,Understand
Briefly explain what is the most common form of identity theft?,Understand
What is intellectual prosperity (IP)? What are the ways in which an individual or firm may protect intellectual property?,Understand
Explain how Information Technology advancements have made it easier for consumers to violate copyright law.,Understand
Explain why patenting has been considered as an unreliable way of protecting intellectual property rights in software industry.,Understand
List five (05) pieces of information about a person (personal information) that appears in public records.,Remember
Facebook introduced the Tag Suggestion feature. Discuss the morality of this feature with Kantianism and act utilitarian ethical views.,Understand
Define the followings:,Understand
What is the purpose of the Carnivore system?,Understand
Give two examples of data mining programs run by governments.,Understand
Explain two different ways a vote thief could cast multiple votes in an online election.,Understand
"In which conditions the release of a worm, virus, or Trojan horse would be morally justifiable?",Evaluate
Write the Bourne Again Shell (BASH) script file that would perform the following tasks.,Apply
Write a BASH script with a function that would perform the following file testing operations for a user input.,Apply
write a BASH snit with a function to do the following tasks.,Apply
Check whether the file content (which is entered by the user) is added properly or not by displaying line the file contents line by line.,Apply
Write a function to append ten (10) more random integer values which is between 20 to 200 to the end of that same file.,Apply
Find the sum of all the twenty integers which are read from the file.,Apply
Write a BASH script to complete the following tasks.,Apply
Write a script with recursive functions for the following operations.,Apply
Brief the Reliable Network architecture using four (04) basic characteristics.,Understand
What are the three (03) most common ways to access the Internetwork Operating System (IOS)?,Remember
Write down the four (04) layers of TCP/P model with two (02) protocol associated to each layer.,Remember
Explain about Protocol Data Units (PDU) in network data transfer with suitable layers of OSI model.,Understand
"Differentiate the terms Bandwidth, Throughput and Goodput of data in data transfer through a transmission medium.",Understand
Discuss the pros and cons of wired and wireless media using its main characteristics.,Evaluate
"What is ARP protocol? Explain the function of ARP protocol including, ARP request and ARP reply.",Understand
Briefly explain three (03) techniques to migrate from IPv4 to IPv6 in coexistence of both versions.,Understand
What is meant by VLAN? State four (04) benefits of using a VLAN.,Remember
You have been allocated 192.168.10.0 class-full network to configure a network in your company according to the following requirements given by the managerial board.,Apply
Differentiate the TCP and UDP transport layer protocols.,Understand
Briefly explain the emailing process using the functions of three (03) main email protocols.,Understand
What are the four (04) step process for a client to obtain a lease in a DHCPv4 operation?,Remember
"Briefly explain about the followings related to routing,",Understand
Label your devices as follows.,Apply
create the network topology using appropriate devices and cables as follows,Apply
Assign IP addresses to the interfaces of connected devices using the Addressing Table given below.,Apply
Configure basic settings on devices as given in topology.,Apply
Create VLANs on each switches as follows.,Apply
Assign YLANs to correct interfaces on each switches.,Apply
Configure trunk links where it is necessary on switches.,Apply
Configure Inter-VLAN Routing (Router-on-a-Stick) on router R1.,Apply
Check the connectivity between the following devices using ping command.,Apply
save all configuration to NVRAM of appropriate devices.,Apply
Configure IP addresses to each device on all networks and subnetworks except PC-D. IP addresses are given on the topology diagram.,Apply
change the hostnames of each device same as device label.,Apply
Enable DHCP on router R2 with following parameters.,Apply
Set static IP address for Server-B as 10.1.2.10/24,Apply
Configure static routing protocol on this topology and ensure that you can ping from PC-A to Server-B and PC-D.,Apply
write an ACL to deny the HTTP service from pc-A to Server-B.,Apply
Configure NTP on R1 using Server-A.,Apply
"Enable syslog server on Server-A, and do necessary configuration on RI to pick the log message with accurate time",Apply
save all configuration to NVRAM of appropriate devices,Apply
Define the term data structure.,Understand
State the in-out techniques used in stack and queue data structures. Provide one (01) real world example similar to those structures.,Understand
Answer the question below [b (i) to b (ii)] based on the stack implementation of parenthesis checking.,Understand
Describe how pop and push operations takes place in stack data structure.,Understand
What is meant as analyzing an algorithm.,Understand
Briefly explain the term time complexity in the context of algorithm implementation.,Understand
Answer the questions from [ c (i) to c (iii)] based on the given array of elements.,Understand
Define the followings terms in terms of trees.,Understand
what is meant by in order successor and write down the algorithm to find out the in order successor of a node in a tree.,Analyze
Explain by means of an algorithm. the steps to delete a node which has two (02) children from a binary tree.,Understand
"Write the order of the following traversals, for the given binary tree.",Understand
"Define the term weighted directed graph. Given graph is the distance (in km) between certain places named as 1,2,3,4,5,6 and7. Answer the questions below [b (i) - b (iii)] based on the given graph.",Understand
Describe the breadth first search algorithm with the aid of a graph.,Understand
Explain what is meant by the following terms.,Understand
"What is meant by the term ""Inheritance"" in Object Oriented Technology?",Understand
Describe the Aggregation and Composition relationships using suitable examples?,Understand
"In an object-oriented programming language of your choice, write a definition for a number class that contains.",Apply
Describe the difference between the Sequence Diagrams and the Collaboration Diagrams.,Understand
Discuss the role of Use Cases (diagrams and descriptions) in the development of an object-oriented system.,Understand
Provide the meaning of the following Figure in detail.,Understand
Describe the figure described below in detail the part of the Activity diagram.,Understand
Provide the meaning of the following Figure in detail.,Understand
When would private and protected class members be used in an object-oriented program? Clearly distinguish between them.,Understand
How are private and protected class members represented in a UML class diagram?,Understand
Show how composition and aggregation inter-class relationships would be represented in a UML class diagram.,Understand
"Consider the code fragment written be1ow. State the relationship between class A and class B, and show how this code fragment would be represented in a UML class diagram.",Understand
Describe the meaning of <<include>> and <<extend>> in an UML use-case diagram.,Understand
"How are specialization and generalization relationships defined, and how they are represented in an UML class diagram?",Understand
"When developing any system, it needs to be tested. Discuss which techniques are appropriate for testing systems developed using object-oriented technology?",Evaluate
Write JAVA program to read ten integers from the user.,Apply
Find the summation of these ten integers.,Apply
Find the minimum and maximum value.,Apply
Find the duplicated values in the array.,Apply
Write a JAVA program to implement the array-based stack data structure to perform the following operations.,Apply
Write a JAVA program to Convert the INFIX expressions into POSTFIX expressions using stacks.,Apply
"Create a linked list with three nodes with the values of 21, 05, 76.",Apply
"A method to add new node at the front of the linked list. And add two more nodes with the values of 10, 32 at the front of the linked list.",Apply
"A method to add a new node after a given node of the linked list. And add two more nodes with the values of 100, 45 after the node which having the value of 76.",Apply
"A method to add a new node at the end of the linked list. And add three more nodes with the values of 99, 02, 83 at tire end of the linked list.",Apply
A method to print the contents of linked list.,Apply
A method to delete a given key (delete the value of 99 from the linked list).,Apply
A method to search an element in a linked list to find whether it is existing or not?,Apply
Explain the categories of binary codes and provide an example for each category.,Understand
Find the BCD sum of 352 and 780 by finding their BCD equivalents.,Apply
classify the combinational circuits and provide two examples for each.,Understand
Differentiate an odd-parity scheme from an even-parity scheme used in Error Detection.,Understand
Implement a full-adder using two half-adders.,Apply
A majority circuit is a combinational circuit whose output is equal to 1 if the input variables have more 1's than 0's. The output is 0 otherwise.,Apply
Symbolize using graphical symbols.,Apply
Construct an Edge-Triggered D Flip-flop from D Latches.,Apply
Give the characteristic equation and the characteristic table of JK flip-flop.,Understand
Differentiate a Mealy Machine (Mealy FSM) from a Moore Machine (Moore FSM).,Understand
State and describe the types of sequential circuits by their function.,Understand
"Design a sequential circuit with two D flip-flops A and B, and an input x. When x=0, the state of the circuit remains the same.",Apply
Design the above circuit and save it as Comparator ICTxxx in the same project.,Apply
You need to implement the above circuit designed in part A of Question 0i using the hardware apparatus provided.,Apply
"you need to design a main circuit named ""Adder ICTxxx"" that adds two 2-bit numbers as shown in the following figure.",Apply
Add a new circuit: Full Adder. Label it as FA Its input should be 3 binary inputs and 2 outputs.,Apply
Add a new circuit: Two-Bit Adder. Label it as 2-Bit Adder.,Apply
add a new circuit: BCD-to-Seven-Segment Decoder. Label it as Decoder.,Apply
"Using the above created circuits, build the main circuit that adds the two 2-bit numbers as shown in Figure 03 below.",Apply
"Design a counter with the following repeated binary sequence: 0, 1, 2, 4 and 6 using D Flip-flops. Use don't care outputs X to indicate the states that are not part of the defined counting sequence. Save the circuit as Counter ICTxxx.",Apply
Connect a seven segment display at the terminal of the above circuit to view the sequence of the counter. You may use the BCD-to-Seven-Segment Decoder you created for part c) in Question 02.,Apply
Briefly explain the following Terms.,Understand
Briefly explain Social Computing techniques.,Understand
What is meant by social interaction multiplicity?,Understand
Compare and contrast Social Media Vs Social Networks.,Analyze
What is called e-Government?,Understand
Briefly explain digital exclusion.,Understand
Explain about Types of e-Government use in social computing.,Understand
Explain at least three e-Government activities.,Understand
What is called e-Citizen?,Understand
Explain about Crowdsourcing practice in software engineering.,Understand
Explain at least two Crowdsourcing platforms in social computing.,Understand
Briefly explain abut Crowdsourcing for software testing und verification.,Understand
Briefly explain about Web 2.0.,Understand
Briefly explain about Web 3.0. How it differs from Web 2.0.,Understand
What does it mean by protocol in networking?,Understand
What is called Re- Engineering in Social Computing?,Understand
Answer the following with the suitable examples.,Apply
Define the followings,Remember
"Describe briefly with the aid of a diagram, how a multimedia text can be digitized?",Understand
List and explain five (05) situations where multimedia can be used.,Remember
Compare and contrast Bitmap and Raster images.,Analyze
Briefly describe the followings.,Understand
What are the key parameters that are considered in evaluating a compression system? Briefly explain each.,Understand
You have 30 seconds audio file sampled at a rate of 44.1KHz and quantized using 8 bits. Calculate the file size of the mono and stereo variants of this file.,Apply
Create a new Photoshop Document of height 10 inches and width 10 inches having a resolution of 72 pixels/inch.,Apply
"Using the image resources provided, manipulate an image as shown in Figure 01.",Apply
Save the Photoshop document as e01 ICTxxx.psd.,Apply
Create a new Photoshop Document having a width of 1366 pixels and 1500 pixels height with a resolution of 72 pixels/inch.,Apply
"Using the appropriate tools and the resources provided, design the web pages as given in Figure 02, Figure 03 and Figure 04.",Apply
"Save the 03 pages as Index ICTxxx.psd, Vegetable ICTxxx.psd and Fruits ICTxxx.psd in a folder titled Q02 ICTxxx.",Apply
Provide the following hyperlinks in respective webpages.,Apply
Save the 03 HTML pages created in the folder Q02 ICTxxx'.,Apply
Create a new illustrator document with height 10 inches and width i0 inches.,Apply
Use the appropriate tools and panels to design the logo as given in Figure 05.,Apply
Save the logo as Q03 lCTxxx.ai.,Apply
Create a new Illustrator document from the template Brochure.,Apply
"Using the provided images, appropriate illustrator tool and panels, design the tri-fold brochure as given in Figure 06.",Apply
Save the final output as Q04_ICTxxx.ai.,Apply
Explain the motivation behind Object Oriented Programming (OOP). Your answer should consider the various programming paradigms and their drawback that culminates in the software system development.,Understand
"Providing suitable examples, explain what is meant by an Object. Your answer should consider how the real world objects are mapped to software objects.",Understand
Explain what is meant by polymorphism by providing real world example with relevant Java code segments?,Understand
"Providing necessary examples, explain the use of access modifiers in functions.",Understand
Write short description about the following relationships.,Understand
Model the scenario of natural extinction of a living being according to the concept of Inheritance. Your answer should contain necessary Java keywords that is being used to model the scenarios.,Apply
Compare and contrast between Java abstract classes and interfaces together with appropriate sample code segments.,Analyze
Explain what is meant by encapsulation and its importance taking television set as an example.,Understand
Consider the following if-else block:,Understand
Write three explicit jump statements available in Java. Each statement should be noted with an explanation of the purpose of that statement and an example Java code snippet.,Apply
"Define the term ""protocol"" in the context of communication in a networked environment.",Understand
State three common HTTP request methods and briefly explain each using example.,Remember
State two (02) limitations of Internet Protocol (IP) and further explain how those issues are addressed by Transmission Control Protocol (TCP).,Understand
Hypertext Transport Protocol (HTTP) is based on the request-response communication model.,Understand
Compare Transmission Control Protocol (TCP) and User Datagram Protocol (UDP).,Analyze
Define the term eavesdropper. State a mechanism that is used to prevent eavesdropping.,Understand
Explain the process of client caching with the aid of a flow diagram.,Understand
"Compare static web pages and dynamic web pages based on the composing process, maintenance and workload on the server.",Analyze
Discuss about the primary tasks and basic functionality of a web browser.,Understand
Say you are given a task to develop an 'e-commerce' web application. Which client server architecture will you choose to implement this? Justify your answer.,Apply
Create Person Class with following features.,Apply
Create Subject Class with the following features.,Apply
Create Undergraduate Class with the following features.,Apply
Write a Main Class to perform the following Actions,Apply
Write java classes with the following features,Apply
Assume that you have an account balance of Rs.5000. you can withdraw money from your account. write an InvalidwithdrawlMoneyException exception class when you try to withdraw more.,Apply
"""Figure 1"" depicts a model web page that contains a registration form that allow access privilege to a simple calculator. Design a web page same as the given model page using HTML (Hyper Text Markup Language) and CSS (Cascading Style Sheet).",Apply
"""Figure 2"" depicts a simple calculator.html page with some basic functions to be linked with the yellow highlighted ""Click this to access the Calculator without Registering"" sentence in the Registration form of the Question No 01. Create a web page same as the given calculator using HTML (Hyper Text Markup Language), CSS (Cascading Style Sheet) and JavaScript functions.",Apply
Define what is meant by the term Information and Communication Technology (ICT).,Remember
Briefly discuss the role of ICT in the Agriculture sector.,Understand
Mention the three (03) main types of personal computers (PC).,Remember
Differentiate Data and Information.,Understand
List out four (04) Characteristics of a valuable information.,Remember
What is an Information System?,Remember
Draw the Schematic Model of an Information System.,Apply
Mention four (04) functions of an operating system (OS).,Remember
Name two (02) Mobile operating systems.,Remember
What are high level and low level programming languages? Give two (02) examples of high level and 1ow level programming language.,Remember
Mention tour (04) types of printers.,Remember
Briefly define the following printer/scanner related specifications.,Understand
Write the short note for the followings.,Understand
Define the following terms.,Remember
Explain followings with suitable examples.,Understand
What are the benefits of a database management system over a manual system? Provide three (03) examples.,Understand
Provide two (02) situations where database should not be use.,Understand
"Explain the three-tier architecture of DBMS along with followings: Levels. schema, and mappings. you are advised to explain with the illustration.",Understand
"Explain the distinctions among the terms primary key, candidate key, and super key.",Understand
What is normalization? what is the major goal of normalization.,Remember
answer the followings.,Understand
consider the followings tables answer  the question given below using relational algebraic notations.,Apply
answer the following questions using SQL statements by referring the following relational schema. Note that the key of the relations are underlined.,Apply
Convert the following numbers to their respective bases,Apply
Represent the following numbers in Two's complement form,Apply
Convert the following fractional numbers to their corresponding binary number,Apply
